i,j,lambda,lambda.lower,lambda.upper,R,R.lower,R.upper,S,S.lower,S.upper,totAdults,totAdults.lower,totAdults.upper,totN,totN.lower,totN.upper,totNMF,totNMF.lower,totNMF.upper,.width,.point,.interval,yrs,herd,trt
41,1,1,1,1,0.1,0.1,0.1,0.9118172114444445,0.8112686731573173,0.9630823100088259,81.4642520119265,39.88175159671142,129.68359919261226,115.28601555938128,63.233451136135265,176.6492390047142,195.4627463198887,104.96446688781658,321.64766050082454,0.9,median,qi,1973,Quintette Full,Reference
41,2,0.9700554214132975,0.6606191041797664,1.5571482482447458,0.1513763229070963,0.06581886852382275,0.30339672405541673,0.9089789420543405,0.8120153557988643,0.9606902114613516,104,57.94999999999999,160.04999999999995,117,65,183,188.5237922945276,99.4977579862669,342.95518527662557,0.9,median,qi,1974,Quintette Full,Reference
41,3,1.0017722025015405,0.6530812606817548,1.625609952202029,0.14963233727854564,0.06592736477899049,0.30555333660108563,0.9112038366646777,0.8207837382234425,0.9629760016026876,106,59,166,119,66,183.04999999999995,192.5439480648554,97.66140612337652,322.6252876318895,0.9,median,qi,1975,Quintette Full,Reference
41,4,1.0307227717846787,0.6507655978530116,1.612224827832497,0.1484908690881112,0.07242328013580024,0.2859950372232392,0.9110835595705188,0.8092472192513973,0.9635269441504523,108,59,168,121,66,188,195.28126396869456,99.16921696147972,348.604054720379,0.9,median,qi,1976,Quintette Full,Reference
41,5,1.0252986910496484,0.6446409052097521,1.6580944963529198,0.15137835183396536,0.06872381372971269,0.29327628556317914,0.9101325250376244,0.8186663381007944,0.9641197022520948,109,60,171,123,67.94999999999999,193,197.69718392652624,96.01398183119123,369.86869047604785,0.9,median,qi,1977,Quintette Full,Reference
41,6,1.0163004035284668,0.627787166703409,1.6281095304583948,0.1489351199484321,0.06870279905514476,0.29171939011969084,0.9106602571771936,0.8064649056965983,0.9640351019070988,111,60,176.04999999999995,126,69,205,201.48940136822893,106.08655200359388,350.6522800552052,0.9,median,qi,1978,Quintette Full,Reference
41,7,1.0119871500962465,0.6554893725816805,1.620346760351017,0.14808956553558905,0.06761020081784742,0.29630848657668524,0.9110618215170185,0.8179719355476786,0.9635468995787605,112,63.94999999999999,187,127,71,213,203.35263835032436,107.47728868264514,378.9762440491585,0.9,median,qi,1979,Quintette Full,Reference
41,8,1.0244378269936347,0.6672359627987167,1.5469233629486805,0.14660042244820765,0.06947611461281827,0.2939963767633257,0.9087281282138219,0.8032277291146176,0.9635623665969251,114,63,191.04999999999995,129,69,217,208.06084967478063,106.45182902465402,387.8637422272381,0.9,median,qi,1980,Quintette Full,Reference
41,9,1.006859400542563,0.6538490555466288,1.6007282594959829,0.15025091505739668,0.06733021858803968,0.28534285775805657,0.9117600544861667,0.8185656810785529,0.9649854804911953,115,62.94999999999999,196,130,69.94999999999999,224,209.49999004224,112.70264843175161,400.54884700527276,0.9,median,qi,1981,Quintette Full,Reference
41,10,1.007084786941536,0.6549590984137702,1.5605046530538014,0.15049464729539502,0.06905204663385398,0.2996817816684022,0.9124899684008352,0.8154290727790003,0.9633760122494903,117,64,199,133,72.94999999999999,226.0999999999999,212.83241959646134,112.40829568762656,401.7482681673557,0.9,median,qi,1982,Quintette Full,Reference
41,11,1.0266702505654455,0.6686968101044676,1.6226489753075348,0.15134705914442592,0.07258679994766852,0.3027181477945579,0.9089168064244084,0.8121296453085122,0.9617994200482044,120.5,66,200.14999999999986,137,72.94999999999999,228.04999999999995,221.24163352492383,112.05483187218479,394.5678776831966,0.9,median,qi,1983,Quintette Full,Reference
