yrs,.variable,LCL,UCL,mean
1991,No action counterfactual,8558.52952240227,10996.885557201704,9709.442054574864
1991,Actual,8558.52952240227,10996.885557201704,9709.442054574864
2023,No action counterfactual,2794.013109576987,3610.442514193684,3171.494767151332
2023,Actual,4244.7580927156705,5287.217887506172,4732.584322485459
