herd,year,count,Sightability,sd,MinUsed,Est_CL,Est_CL.min,Est_CL.max
Columbia North,2008,139,0.8333333333333334,0.15214515486254612,0,166.79999999999998,128.27738435111874,238.3903164048063
Columbia North,2006,125,0.9,0.09486832980505137,0,138.88888888888889,118.3662608829553,168.02072830460938
Columbia North,2004,136,0.99,0.07486035635450085,1,137.37373737373738,122.17755725509164,156.8870032577645
Columbia North,2002,152,0.99,0.07486035635450085,1,153.53535353535355,136.55138752039653,175.34429775867798
Columbia North,1997,203,0.8823529411764706,0.07814248990059665,0,230.06666666666666,200.81401579895405,269.2949619124856
Columbia North,1996,193,0.99,0.07486035635450085,1,194.94949494949495,173.38432757524035,222.64111491726874
Columbia North,1994,209,0.99,0.07486035635450085,1,211.11111111111111,187.75815784054524,241.0984094181822
Columbia South,2020,4,NA,NA,0,4.95954353581703,4.302648771184013,5.853157909632065
Columbia South,2016,4,NA,NA,0,4.95954353581703,4.302648771184013,5.853157909632065
Columbia South,2013,6,NA,NA,0,7.439315303725545,6.45397315677602,8.779736864448097
Columbia South,2011,7,0.99,0.07486035635450085,1,7.070707070707071,6.288550741070893,8.075066344149644
Columbia South,2009,14,0.99,0.07486035635450085,1,14.141414141414142,12.577101482141787,16.150132688299287
Columbia South,2008,20,1,0.3514591349268415,0,20,12.673487705206984,47.404323874479125
Columbia South,2007,32,1,0.2703201099636132,0,32,22.150908098523654,57.61987074094723
Columbia South,2006,38,0.99,0.07486035635450085,1,38.38383838383839,34.13784688009913,43.836074439669495
Columbia South,2004,40,0.99,0.07486035635450085,1,40.4040404040404,35.93457566326225,46.14323625228368
Columbia South,2002,29,0.6666666666666666,0.2721655269759087,0,43.5,26.024416757031908,132.4229939755542
Columbia South,1997,93,1,0.10248967637471183,0,93,79.58375851479587,111.85684266444477
Columbia South,1996,94,0.99,0.07486035635450085,1,94.94949494949495,84.44625280866629,108.43660519286664
Columbia South,1994,117,0.99,0.07486035635450085,1,118.18181818181819,105.10863381504208,134.96896603792976
Duncan,2019,0,NA,NA,0,0,0,0
Duncan,2018,0,NA,NA,0,0,0,0
Duncan,2017,0,NA,NA,0,0,0,0
Duncan,2016,0,NA,NA,0,0,0,0
Duncan,2015,1,NA,NA,0,1.2398858839542575,1.0756621927960033,1.4632894774080163
Duncan,2012,2,NA,NA,0,2.479771767908515,2.1513243855920066,2.9265789548160326
Duncan,2010,7,NA,NA,0,8.679201187679801,7.529635349572024,10.243026341856114
Duncan,2008,15,0.99,0.07486035635450085,1,15.151515151515152,13.475465873723342,17.30371359460638
Duncan,2007,16,0.99,0.07486035635450085,1,16.161616161616163,14.3738302653049,18.45729450091347
Duncan,2002,17,0.6666666666666666,0.15713484026367724,0,25.5,18.375797648093982,41.64590244239876
