herd,year,est,sd,season_int
A La Peche,2005,0.14864516129032257,0.04695301415158426,1
A La Peche,2011,0.1623678646934461,0.05117402071909314,1
A La Peche,2010,0.05423728813559322,0.032779625922580685,1
A La Peche,2020,0.31518467852257187,0.05686215926591321,1
A La Peche,2006,0.07344262295081967,0.037040539149598754,1
A La Peche,2013,0.12075471698113208,0.040608529432145594,1
A La Peche,2014,0.0917093142272262,0.033754630395226935,1
A La Peche,2016,0.2029445073612684,0.0468081788683811,1
A La Peche,2007,0.08861538461538462,0.03545621041711673,1
A La Peche,2015,0.3328605200945627,0.052204747981463684,1
A La Peche,2019,0.3021459227467811,0.050730902124724295,1
A La Peche,2018,0.2931297709923664,0.045182893650269194,1
A La Peche,2009,0.19104477611940301,0.04473059062438139,1
A La Peche,2002,0.11479820627802689,0.036081111050393105,1
A La Peche,2017,0.22456140350877193,0.044001193398822774,1
A La Peche,2008,0.0702439024390244,0.03076566176107986,1
A La Peche,2004,0.0372093023255814,0.020184104650151673,1
A La Peche,2012,0.10024096385542168,0.03463824797044366,1
A La Peche,2003,0.09566517189835576,0.03023396596057474,1
A La Peche,1999,0.16059040590405904,0.035016053541816174,1
A La Peche,2000,0.10847457627118644,0.027373195656861197,1
A La Peche,1998,0.1568365357839042,0.022282817918159684,1
Barkerville,1994,0.18181818181818182,0.06176056549879613,1
Barkerville,1995,0.1,0.09045340337332909,1
Barkerville,1996,0.07142857142857142,0.06649638116080449,1
Barkerville,1997,0.25,0.06123724356957945,1
Barkerville,2000,0.11764705882352941,0.05226607744933168,1
Barkerville,2001,0.34615384615384615,0.08041523681967341,1
Barkerville,1993,0.45454545454545453,0.12448239943299229,1
Barkerville,1998,0.13043478260869565,0.06604821959241304,1
Barkerville,1999,0.3333333333333333,0.10540925533894598,1
Barkerville,2002,0.20588235294117646,0.06314806636063648,1
Barkerville,2004,0.10344827586206896,0.0538361896413655,1
Barkerville,2005,0.2571428571428571,0.06588909555306921,1
Barkerville,2006,0.13333333333333333,0.04760036981969445,1
Barkerville,1987,0.03125,0.030288230287347492,1
Barkerville,1988,0.1875,0.06331702814118473,1
Barkerville,1989,0.05714285714285714,0.03815953390148521,1
Barkerville,1991,0.24,0.07670639456878374,1
Barkerville,1992,0.13636363636363635,0.06863485850246136,1
Barkerville,2011,0.2765957446808511,0.057748093576800795,1
Barkerville,2012,0.13846153846153847,0.04015004641853909,1
Barkerville,2013,0.23076923076923078,0.10533126105868579,1
Barkerville,2016,0.13333333333333333,0.04760036981969445,1
Barkerville,2018,0.07894736842105263,0.042113285500190625,1
Barkerville,2020,0.15,0.05264730886222754,1
Brazeau,1994,0.4090909090909091,0.08830583533673635,2
Brazeau,1997,0.14285714285714285,0.12371791482634838,2
Brazeau,1999,0.23076923076923078,0.10533126105868579,2
Brazeau,2001,0.2727272727272727,0.11902794012872311,2
Brazeau,2002,0,0,2
Brazeau,2017,0.4,0.1851640199545103,2
Brazeau,2018,0.3333333333333333,0.16666666666666669,2
Brazeau,2019,0.25,0.13693063937629152,2
Brazeau,2020,0.3333333333333333,0.16666666666666669,2
Brazeau,2021,0.16666666666666666,0.14085904245475278,2
Brazeau,2004,0.3333333333333333,0.11785113019775792,2
Brazeau,2015,0.16666666666666666,0.14085904245475278,2
Brazeau,2016,0.3333333333333333,0.13608276348795434,2
Brazeau,2005,0.3076923076923077,0.1119395192475383,2
Brazeau,2014,0,0,2
Brazeau,2006,0.14285714285714285,0.07142857142857142,2
Brazeau,2010,0.2857142857142857,0.15058465048420855,2
Brazeau,2011,0.2,0.16329931618554522,2
Brazeau,2009,0.3,0.1270977818604485,2
Brazeau,2012,0.375,0.14596855203028555,2
Brazeau,2007,0.21428571428571427,0.09951864943131943,2
Brazeau,2008,0.17647058823529413,0.08524339262464375,2
Burnt Pine,2005,0.10389610389610389,0.11023963796102461,1
Burnt Pine,2004,0.1385281385281385,0.09960238411119948,1
Burnt Pine,2003,0.11873840445269015,0.08748177652797065,1
Burnt Pine,2006,0.11082251082251081,0.08244625898677897,1
Burnt Pine,2008,0.18181818181818182,0.10697243734810039,1
Burnt Pine,2002,0.05263157894736842,0.049930699897395465,1
Central Rockies,2002,0,0,1
Central Rockies,1997,0.0625,0.058708527289232766,1
Central Rockies,1995,0.14285714285714285,0.12371791482634838,1
Charlotte Alplands,2010,0.41558441558441556,0.2041241452319315,2
Charlotte Alplands,2013,0.33246753246753247,0.1851640199545103,2
Charlotte Alplands,2002,0.11873840445269015,0.12371791482634838,1
Charlotte Alplands,2000,0.04155844155844156,0.04755948656056709,2
Charlotte Alplands,1999,0.09974025974025973,0.04266954013312557,2
Charlotte Alplands,1994,0.16623376623376623,0.06172133998483677,1
Charlotte Alplands,2021,0.7142857142857143,0.09221388919541469,3
Chase,2006,0.2925714285714286,0.04688261722621507,1
Chase,2008,0.21117734790641768,0.023050870722005658,1
Chase,2007,0.17844558207565986,0.018619224440148945,1
Chase,2002,0.1394673123486683,0.025173242618051043,1
Chase,2000,0.11743119266055048,0.030168017187276477,1
Chase,2009,0.15916573289707617,0.019179961518441497,1
Chase,2010,0.14816487859966124,0.02149144775740739,1
Chase,2021,0.186848541297359,0.018154173854898675,1
Chase,2017,0.19047619047619047,0.03206192043924469,1
Chase,2001,0.18156028368794327,0.0306870946217681,1
Columbia North,2007,0.15724815724815724,0.05904479037197993,1
Columbia North,2010,0.09664753850800362,0.04626874568338497,1
Columbia North,2020,0.14147554573086488,0.050675506054353,1
Columbia North,2016,0.11082251082251081,0.041223129493389486,1
Columbia North,2012,0.12263146689376196,0.04238811183793449,1
Columbia North,2019,0.16623376623376623,0.047140452079103175,1
Columbia North,2018,0.10884353741496598,0.03461120215301208,1
Columbia North,2008,0.16981132075471697,0.033717928142336075,1
Columbia North,2002,0.1328125,0.02818330880989913,1
Columbia North,2006,0.16822429906542055,0.03345742180974123,1
Columbia North,1996,0.23703703703703705,0.03290800824488085,1
Columbia North,1994,0.24096385542168675,0.02979707060290623,1
Columbia North,2004,0.16216216216216217,0.032453376853364135,1
Columbia North,2021,0.16176470588235295,0.029295189674380055,1
Columbia North,1997,0.1340782122905028,0.023915001916113506,1
Columbia North,2011,0.09782608695652174,0.029560500750608083,1
Columbia North,2013,0.16535433070866143,0.03053711477111534,1
Columbia North,2014,0.13544973544973546,0.03190210256348552,1
Columbia North,2017,0.16379310344827586,0.031852079728722206,1
Columbia South,2006,0.04,0.03843075691322091,1
Columbia South,2008,0,0,1
Columbia South,2002,0.20833333333333334,0.07541392800006155,1
Columbia South,2004,0.1875,0.06331702814118473,1
Columbia South,2007,0.03225806451612903,0.03123373666296304,1
Columbia South,2009,0.18181818181818182,0.10697243734810039,1
Columbia South,1997,0.17721518987341772,0.03959607430736361,1
Columbia South,1996,0.14084507042253522,0.038651295884909134,1
Columbia South,1994,0.14130434782608695,0.03399403716781759,1
Columbia South,2011,0.36571428571428577,0.1851640199545103,1
Columbia South,2013,0.2,0.16329931618554522,1
Duncan,2002,0.3076923076923077,0.1119395192475383,1
Duncan,1996,0.2,0.06666666666666668,1
Duncan,1999,0.08333333333333333,0.054203636298999235,1
Duncan,1997,0.09090909090909091,0.05868156585162753,1
Duncan,1995,0.2,0.08164965809277261,1
Duncan,2007,0.125,0.11023963796102461,1
Duncan,2008,0,0,1
Duncan,2010,0,0,1
Frisby-Boulder,2006,0.23076923076923078,0.10533126105868579,1
Frisby-Boulder,2008,0.09090909090909091,0.08298826628866153,1
Frisby-Boulder,1994,0.09090909090909091,0.04791329788133908,1
Frisby-Boulder,2004,0.3333333333333333,0.11785113019775792,1
Frisby-Boulder,1996,0.3333333333333333,0.10540925533894598,1
Frisby-Boulder,1997,0.12903225806451613,0.056665165526043865,1
Frisby-Boulder,2002,0.3333333333333333,0.10540925533894598,1
Frisby-Boulder,2013,0.1,0.09045340337332909,1
Graham,2018,0.17454545454545453,0.06495058598845396,1
Graham,2001,0.16761904761904764,0.055595000470939494,1
Graham,1995,0.2122133185962973,0.05676763238699571,1
Graham,2017,0.12571428571428572,0.044712433894364176,1
Graham,2020,0.1022977022977023,0.03845099960986465,1
Graham,2019,0.13540298507462686,0.039115929315077375,1
Graham,2002,0.19934426229508195,0.05014920321232756,1
Graham,1999,0.11294117647058823,0.03535470845157284,1
Graham,1994,0.0726264027234901,0.026683263533385564,1
Graham,1989,0.0470472923303112,0.03087989012773477,1
Graham,1988,0.20114942528735633,0.027728031003304288,1
Graham,2021,0.20945454545454545,0.03384437515043391,1
Graham,2016,0.11107438016528927,0.026534761488497725,1
Graham,2003,0.041558441558441565,0.025076240198516838,1
Graham,2009,0.09074626865671642,0.022918460986191398,1
Graham,2015,0.13292307692307692,0.02481817940513581,1
Groundhog,2021,0.25925925925925924,0.07515550462161368,1
Groundhog,1999,0.2,0.08164965809277261,1
Groundhog,2006,0.21052631578947367,0.08500766874602614,1
Groundhog,2008,0.21052631578947367,0.08500766874602614,1
Groundhog,2010,0.125,0.11023963796102461,1
Groundhog,2011,0.5,0.2041241452319315,1
Groundhog,2013,0.2222222222222222,0.12535023884839247,1
Groundhog,2015,0.16666666666666666,0.09960238411119948,1
Groundhog,2017,0.18181818181818182,0.10697243734810039,1
Groundhog,2018,0.35714285714285715,0.10992625200912365,1
Groundhog,2019,0.38461538461538464,0.11467015269229691,1
Groundhog,2020,0.14814814814814814,0.06380420512697103,1
Hart North,2008,0.1,0.027272727272727275,1
Hart North,2012,0.09900990099009901,0.028349005813165004,1
Hart North,2013,0.2,0.043643578047198484,1
Hart North,2019,0.23108320251177394,0.040702825344406654,1
Hart North,2020,0.19452887537993924,0.03833103785635327,1
Hart North,2007,0.15217391304347827,0.0284855710172595,1
Hart North,2021,0.2127659574468085,0.03833103785635327,1
Hart North,2010,0.15503875968992248,0.02965141357062868,1
Hart North,2009,0.13076923076923078,0.027807481870556396,1
Hart North,2005,0.19298245614035087,0.04785705242797499,1
Hart North,2006,0.2565789473684211,0.031601758776667994,1
Hart North,2015,0.12264150943396226,0.030070026059312697,1
Hart North,2016,0.1956521739130435,0.03782404246894051,1
Hart South,2021,0.18487394957983194,0.023116692285487885,1
Hart South,2020,0.18666666666666668,0.023711256060685484,1
Hart South,2019,0.22395833333333334,0.02719519656146189,1
Hart South,2002,0.21145374449339208,0.02462379177898816,1
Hart South,2005,0.2185430463576159,0.0215425503646366,1
Hart South,2006,0.19444444444444445,0.02011824235938224,1
Hart South,2010,0.11194029850746269,0.018264432380805863,1
Hart South,2012,0.1262135922330097,0.017801888813050445,1
Hart South,2013,0.15246636771300448,0.02242326946152139,1
Hart South,2016,0.15204678362573099,0.02558240980528791,1
Itcha-Ilgachuz,1978,0.16962629207527166,0.01943578094868844,1
Itcha-Ilgachuz,1984,0.33246753246753247,0.01431007187251647,1
Itcha-Ilgachuz,1988,0.16821273964131106,0.014469562063935784,1
Itcha-Ilgachuz,1985,0.192,0.012317850995905275,1
Itcha-Ilgachuz,1987,0.22482435597189696,0.011115773389982367,1
Itcha-Ilgachuz,1996,0.2252199413489736,0.009441636815762993,1
Itcha-Ilgachuz,1997,0.16531534763578962,0.00803008798681152,1
Itcha-Ilgachuz,1986,0.2735483870967742,0.011717106837847846,1
