herd,year,season,type,calves,adults,recruitment
Itcha-Ilgachuz,2001,fall,OSC,108,432,0.25
Itcha-Ilgachuz,1999,winter,OSC,45,216,0.20833333333333334
Itcha-Ilgachuz,2000,fall,OSC,173,742,0.23315363881401618
Itcha-Ilgachuz,1998,winter,OSC,83,535,0.15514018691588785
Itcha-Ilgachuz,1999,fall,OSC,110,532,0.20676691729323307
Itcha-Ilgachuz,1997,winter,OSC,36,181,0.19889502762430938
Itcha-Ilgachuz,1998,fall,OSC,84,481,0.17463617463617465
Itcha-Ilgachuz,1996,winter,OSC,42,155,0.2709677419354839
Itcha-Ilgachuz,1997,fall,OSC,126,566,0.2226148409893993
Itcha-Ilgachuz,1996,fall,OSC,64,196,0.32653061224489793
Quintette,2015,winter,OSC,9,57,0.15789473684210525
Itcha-Ilgachuz,1995,fall,OSC,63,377,0.16710875331564987
Itcha-Ilgachuz,1988,winter,OSC,17,84,0.20238095238095238
Itcha-Ilgachuz,1987,winter,OSC,33,122,0.27049180327868855
Itcha-Ilgachuz,1988,fall,OSC,66,443,0.1489841986455982
Itcha-Ilgachuz,1986,winter,OSC,53,167,0.31736526946107785
Itcha-Ilgachuz,1987,fall,OSC,73,356,0.2050561797752809
Itcha-Ilgachuz,1985,winter,OSC,24,89,0.2696629213483146
Itcha-Ilgachuz,1986,fall,OSC,31,169,0.1834319526627219
Itcha-Ilgachuz,1984,winter,OSC,18,45,0.4
Itcha-Ilgachuz,1985,fall,OSC,40,294,0.1360544217687075
Itcha-Ilgachuz,1983,winter,OSC,61,182,0.33516483516483514
Itcha-Ilgachuz,1982,fall,OSC,62,72,0.8611111111111112
Itcha-Ilgachuz,1980,spring,OSC,10,118,0.0847457627118644
Itcha-Ilgachuz,1980,fall,OSC,10,118,0.0847457627118644
Itcha-Ilgachuz,1978,winter,OSC,10,49,0.20408163265306123
Itcha-Ilgachuz,1979,fall,OSC,117,236,0.4957627118644068
Itcha-Ilgachuz,1977,winter,OSC,32,106,0.3018867924528302
Kennedy Siding,2017,winter,OSC,10,21,0.47619047619047616
Kennedy Siding,2015,winter,OSC,4,15,0.26666666666666666
Kennedy Siding,2014,winter,OSC,1,11,0.09090909090909091
Kennedy Siding,2013,winter,OSC,3,23,0.13043478260869565
Kennedy Siding,2010,winter,OSC,3,25,0.12
Kennedy Siding,2009,winter,OSC,4,56,0.07142857142857142
