herd,year,season,type,calves,adults,recruitment
Frisby-Boulder,2004,winter,OTC,4,12,0.3333333333333333
Frisby-Boulder,2002,winter,OTC,5,15,0.3333333333333333
Frisby-Boulder,1997,winter,OTC,4,31,0.12903225806451613
Frisby-Boulder,1996,winter,OTC,5,15,0.3333333333333333
Frisby-Boulder,1994,winter,OTC,3,33,0.09090909090909091
Graham,2021,winter,OTC,17,92,0.18478260869565216
Graham,2016,winter,OTC,12,64,0.1875
Graham,2015,winter,OTC,25,164,0.1524390243902439
Graham,2009,winter,OTC,15,119,0.12605042016806722
Graham,2003,winter,OTC,2,44,0.045454545454545456
Graham,2002,winter,OTC,11,102,0.10784313725490197
Graham,1989,winter,OTC,91,490,0.18571428571428572
Graham,1988,winter,OTC,35,174,0.20114942528735633
Groundhog,2021,winter,OTC,7,27,0.25925925925925924
Groundhog,2020,winter,OTC,4,27,0.14814814814814814
Groundhog,2019,winter,OTC,5,13,0.38461538461538464
Groundhog,2018,winter,OTC,5,14,0.35714285714285715
Groundhog,2017,winter,OTC,2,11,0.18181818181818182
Groundhog,2015,winter,OTC,2,12,0.16666666666666666
Groundhog,2013,winter,OTC,2,9,0.2222222222222222
Groundhog,2011,winter,OTC,2,4,0.5
Groundhog,2010,winter,OTC,1,8,0.125
Groundhog,2008,winter,OTC,4,19,0.21052631578947367
Groundhog,2006,winter,OTC,4,19,0.21052631578947367
Groundhog,1999,winter,OTC,4,20,0.2
Hart North,2021,winter,OTC,20,94,0.2127659574468085
Hart North,2020,winter,OTC,18,91,0.1978021978021978
Hart North,2019,winter,OTC,22,88,0.25
Hart North,2016,winter,OTC,18,92,0.1956521739130435
Hart North,2015,winter,OTC,13,106,0.12264150943396226
Hart North,2013,winter,OTC,14,70,0.2
Hart North,2012,winter,OTC,10,101,0.09900990099009901
Hart North,2010,winter,OTC,20,129,0.15503875968992248
Hart North,2009,winter,OTC,17,130,0.13076923076923078
Hart North,2008,winter,OTC,11,110,0.1
Hart North,2007,winter,OTC,21,138,0.15217391304347827
Hart North,2006,winter,OTC,39,152,0.2565789473684211
Hart North,2005,winter,OTC,11,57,0.19298245614035087
Hart South,2021,winter,OTC,44,238,0.18487394957983194
Hart South,2020,winter,OTC,49,240,0.20416666666666666
Quintette,2013,winter,OTC,6,77,0.07792207792207792
Hart South,2019,winter,OTC,43,192,0.22395833333333334
Hart South,2016,winter,OTC,26,171,0.15204678362573099
Hart South,2013,winter,OTC,34,223,0.15246636771300448
Hart South,2012,winter,OTC,39,309,0.1262135922330097
Hart South,2010,winter,OTC,30,268,0.11194029850746269
Hart South,2006,winter,OTC,63,324,0.19444444444444445
Hart South,2005,winter,OTC,66,302,0.2185430463576159
Hart South,2002,winter,OTC,48,227,0.21145374449339208
Itcha-Ilgachuz,2021,spring,OTC,126,256,0.4921875
Itcha-Ilgachuz,2020,spring,OTC,18,167,0.10778443113772455
Itcha-Ilgachuz,2019,spring,OTC,48,425,0.11294117647058824
Itcha-Ilgachuz,2018,spring,OTC,124,327,0.37920489296636084
Itcha-Ilgachuz,2015,spring,OTC,226,383,0.5900783289817232
Itcha-Ilgachuz,2013,spring,OTC,259,722,0.3587257617728532
Itcha-Ilgachuz,2011,spring,OTC,357,1009,0.3538156590683845
Itcha-Ilgachuz,2010,spring,OTC,442,1651,0.2677165354330709
Itcha-Ilgachuz,2008,spring,OTC,432,1352,0.31952662721893493
Itcha-Ilgachuz,2004,spring,OTC,611,2161,0.2827394724664507
Itcha-Ilgachuz,2003,spring,OTC,743,2119,0.3506370929683813
Itcha-Ilgachuz,2002,spring,OTC,564,1487,0.3792871553463349
Itcha-Ilgachuz,2001,spring,OTC,673,1494,0.4504685408299866
Itcha-Ilgachuz,2000,spring,OTC,385,1369,0.28122717311906503
Itcha-Ilgachuz,1999,spring,OTC,557,1564,0.3561381074168798
Itcha-Ilgachuz,1998,spring,OTC,444,1245,0.3566265060240964
Itcha-Ilgachuz,1997,spring,OTC,334,993,0.3363544813695871
Itcha-Ilgachuz,1996,spring,OTC,428,893,0.47928331466965285
Itcha-Ilgachuz,1995,spring,OTC,293,843,0.3475682087781732
Itcha-Ilgachuz,1993,spring,OTC,317,877,0.3614595210946408
Itcha-Ilgachuz,1992,spring,OTC,298,1110,0.26846846846846845
Itcha-Ilgachuz,1991,spring,OTC,330,885,0.3728813559322034
Itcha-Ilgachuz,1990,spring,OTC,314,848,0.37028301886792453
Itcha-Ilgachuz,1989,spring,OTC,161,509,0.3163064833005894
Itcha-Ilgachuz,1988,spring,OTC,258,675,0.38222222222222224
Itcha-Ilgachuz,1987,spring,OTC,267,662,0.4033232628398791
Itcha-Ilgachuz,1986,spring,OTC,255,730,0.3493150684931507
Itcha-Ilgachuz,1985,spring,OTC,187,588,0.31802721088435376
Itcha-Ilgachuz,1984,spring,OTC,186,524,0.3549618320610687
Itcha-Ilgachuz,1983,spring,OTC,197,514,0.3832684824902724
Itcha-Ilgachuz,1980,spring,OTC,45,45,1
Quintette,2016,winter,OTC,5,24,0.20833333333333334
Itcha-Ilgachuz,1979,spring,OTC,5,13,0.38461538461538464
Kennedy Siding,2021,winter,OTC,20,79,0.25316455696202533
Kennedy Siding,2020,winter,OTC,11,76,0.14473684210526316
Kennedy Siding,2019,winter,OTC,18,59,0.3050847457627119
Kennedy Siding,2018,winter,OTC,9,56,0.16071428571428573
Kennedy Siding,2017,winter,OTC,18,45,0.4
Kennedy Siding,2016,winter,OTC,5,45,0.1111111111111111
Kennedy Siding,2015,winter,OTC,7,42,0.16666666666666666
Kennedy Siding,2012,winter,OTC,6,35,0.17142857142857143
Kennedy Siding,2011,winter,OTC,2,24,0.08333333333333333
Klinse-Za,2021,winter,OTC,14,87,0.16091954022988506
Klinse-Za,2020,winter,OTC,10,51,0.19607843137254902
Klinse-Za,2012,winter,OTC,3,22,0.13636363636363635
Klinse-Za,1996,winter,OTC,17,203,0.08374384236453201
Maligne,2017,fall,OTC,1,2,0.5
Maligne,2016,fall,OTC,1,2,0.5
Quintette,2018,winter,OTC,12,37,0.32432432432432434
Maligne,2015,fall,OTC,0,2,0
Maligne,2014,fall,OTC,0,5,0
Maligne,2013,fall,OTC,1,5,0.2
Maligne,2012,fall,OTC,1,0,Inf
Maligne,2010,fall,OTC,1,3,0.3333333333333333
