id,herd,year,enter.date,exit.date,event,enter,exit,time
108,Columbia South,2000,2000-01-01,2000-12-31,0,0,12,365
108,Columbia South,2001,2001-01-01,2001-12-31,0,0,12,364
108,Columbia South,2002,2002-01-01,2002-05-27,1,0,5,146
109,Frisby-Boulder,1999,1999-12-29,1999-12-31,0,11,12,2
109,Frisby-Boulder,2000,2000-01-01,2000-12-31,0,0,12,365
109,Frisby-Boulder,2001,2001-01-01,2001-12-31,0,0,12,364
109,Frisby-Boulder,2002,2002-01-01,2002-04-23,0,0,4,112
11,Columbia North,2018,2018-03-13,2018-03-20,1,2,3,7
11,Columbia South,1991,1991-12-03,1991-12-31,0,11,12,28
11,Columbia South,1992,1992-01-01,1992-12-31,0,0,12,365
11,Columbia South,1993,1993-01-01,1993-12-31,0,0,12,364
11,Columbia South,1994,1994-01-01,1994-12-31,0,0,12,364
11,Columbia South,1995,1995-01-01,1995-06-09,1,0,6,159
11,Itcha-Ilgachuz,1996,1996-05-25,1996-12-31,0,4,12,220
11,Itcha-Ilgachuz,1997,1997-01-01,1997-12-31,0,0,12,364
11,Itcha-Ilgachuz,1998,1998-01-01,1998-12-31,0,0,12,364
11,Itcha-Ilgachuz,1999,1999-01-01,1999-07-16,1,0,7,196
11,Itcha-Ilgachuz,2012,2012-10-01,2012-12-31,0,9,12,91
11,Itcha-Ilgachuz,2013,2013-01-01,2013-12-31,0,0,12,364
11,Itcha-Ilgachuz,2014,2014-01-01,2014-04-16,1,0,4,105
11,Wells Gray North,1985,1985-12-28,1985-12-31,0,11,12,3
11,Wells Gray North,1986,1986-01-01,1986-12-31,0,0,12,364
11,Wells Gray North,1987,1987-01-01,1987-12-31,0,0,12,364
11,Wells Gray North,1988,1988-01-01,1988-12-16,0,0,12,350
111,Columbia South,1999,1999-12-30,1999-12-31,0,11,12,1
111,Columbia South,2000,2000-01-01,2000-12-31,0,0,12,365
111,Columbia South,2001,2001-01-01,2001-12-31,0,0,12,364
111,Columbia South,2002,2002-01-01,2002-04-06,0,0,4,95
112,Columbia North,1999,1999-12-31,1999-12-31,0,11,12,0
112,Columbia North,2000,2000-01-01,2000-11-19,1,0,11,323
113,Wells Gray South,2000,2000-12-05,2000-12-31,0,11,12,26
113,Wells Gray South,2001,2001-01-01,2001-11-09,0,0,11,312
115,Frisby-Boulder,2000,2000-12-26,2000-12-31,0,11,12,5
115,Frisby-Boulder,2001,2001-01-01,2001-12-15,0,0,12,348
116,Frisby-Boulder,2000,2000-12-26,2000-12-31,0,11,12,5
116,Frisby-Boulder,2001,2001-01-01,2001-12-31,0,0,12,364
116,Frisby-Boulder,2002,2002-01-01,2002-12-31,0,0,12,364
116,Frisby-Boulder,2003,2003-01-01,2003-03-29,0,0,3,87
117,Columbia North,2000,2000-12-29,2000-12-31,0,11,12,2
117,Columbia North,2001,2001-01-01,2001-12-31,0,0,12,364
117,Columbia North,2002,2002-01-01,2002-12-31,0,0,12,364
117,Columbia North,2003,2003-01-01,2003-12-31,0,0,12,364
117,Columbia North,2004,2004-01-01,2004-12-31,0,0,12,365
117,Columbia North,2005,2005-01-01,2005-12-31,0,0,12,364
117,Columbia North,2006,2006-01-01,2006-02-07,0,0,2,37
118,Maligne,2010,2010-03-16,2010-12-31,0,2,12,290
118,Maligne,2011,2011-01-01,2011-12-31,0,0,12,364
118,Maligne,2012,2012-01-01,2012-12-31,0,0,12,365
118,Maligne,2013,2013-01-01,2013-12-31,0,0,12,364
118,Maligne,2014,2014-01-01,2014-12-31,0,0,12,364
118,Maligne,2015,2015-01-01,2015-12-31,0,0,12,364
