ACTION,Herd,BC Herd,Year,Official Survey Timing,"Survey Count (KMB = SO, Total count) OTC",MinCount (KMB = Minimum # known alive),NFG,NFG-Reason,Use for trend? (KMB - BPV?),"Estimate (MC, eg JHE)","Parameter Method (JHE, mark resight etc)",LCL-90%,UCL-90%,CV,SCF,N collar available,N collars detected,"KMB = Observed sample count, OSC; Min count (survey for recruitment - cannot be used for trend analyses in the IPM or otherwise)",N. Calves (OTC),N. Calves (Min # Known Alive),N. Calves (OSC),Percent calves- free ranging (OTC),Percent calves- free ranging (Min # Known Alive),Percent calves- including penned calves,N. Adult F (OTC),N. Adult F (Min # Known Alive),N. Adult F (OSC),N. Adult M (OTC),N. Adult M (Min # Known Alive),N. Adult M (OSC),N. Adult (Sex Unclassified) (OTC),N. Adult (Sex Unclassified) (Min # Known Alive),N. Adult (Sex Unclassified) (OSC),Unclassified Life Stage and Sex (OTC),Unclassified Life Stage and Sex (Min # Known Alive),Unclassified Life Stage and Sex (OSC),Yrling - Unclas Sex (OTC),Yrling - Unclas Sex (Min # Known Alive),Yrling - Unclas Sex (OSC),Who entered the data?,Relevant Notes in Original Data,Notes in Original Data on MNKA/ Estimate/ Parameter Method,Survey Type (s),Additional Notes
,Frisby-Boulder,Frisby-Boulder,1997,Winter,35,NA,,NA,MC,42,SCF,NA,NA,NA,0.83,4,4,NA,4,NA,NA,,,,2,NA,NA,9,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,BM,An average sightability correction factor (SCF) was calculated as the sum of radio-collared caribou observed on all surveys divided by the sum of radio-collared caribou present on all surveys for Frisby Boulder from 1987 to 2006,,,
,Frisby-Boulder,Frisby-Boulder,2002,Winter,20,NA,,NA,MC,24,SCF,NA,NA,NA,0.83,5,5,NA,5,NA,NA,,,,NA,NA,NA,4,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,BM,An average sightability correction factor (SCF) was calculated as the sum of radio-collared caribou observed on all surveys divided by the sum of radio-collared caribou present on all surveys for Frisby Boulder from 1987 to 2006,,,
,Frisby-Boulder,Frisby-Boulder,2011,Winter,2,10,,NA,MNKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,,,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,BM,,MNKA: Observed survey count plus 8 estimated from tracks,,
,Frisby-Boulder,Frisby-Boulder,2013,Winter,11,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,,,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Frisby-Boulder,Frisby-Boulder,2020,Winter,6,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,George Mountain,George Mountain,1993,Winter,NA,NA,Y,"Only have expert knowledge estimate (see comments), not survey data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,"Note (BM): Lists 20 as an Expert Knowledge estimate for the number of individuals. // Source: ""Table 2 - Numbers and Composition of Caribou Observed March 1992 and 1993"" (Watts 1999). Report lists ""20 est"" for caribou observed March 1992 and 1993 (Table 2); as indicated in the 1999 report (Watts), this value is derived from unpublished data (Watts, 1993).",,,
,George Mountain,George Mountain,1999,Winter,NA,6,,NA,MNKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,"MNKA: 5-6 estimated from tracks; observation data provided in report indicates 4 of 5 tracks counted, unable to determine if reported total or observation data is correct; decided to maintain continuity with reported value (Knowledge Management Branch, 2021)",,
,George Mountain,George Mountain,2002,Winter,3,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,George Mountain,George Mountain,2004,Winter,0,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,George Mountain,George Mountain,2005,Winter,0,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,George Mountain,George Mountain,2006,Winter,0,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,George Mountain,George Mountain,2007,Winter,0,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,George Mountain,George Mountain,2009,Winter,0,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,Flight over George Mountain following the 2009 Narrow Lake census,,,
,George Mountain,George Mountain,2010,Winter,0,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,"Flight over George Mountain following the 2010 censuses for Hart Ranges, North Cariboo and Narrow Lake",,,
,Graham,Graham,2018,Winter,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,6,,,,NA,NA,22,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Graham,Graham,2001,Winter,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,11,,,,NA,NA,42,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,"Note (BM): The entered data for 2001-2002 is from the file 2001-2002_Caribou_AerialPostBirthingSurvival_Graham. The file 2001-2002_Caribou_AerialRutSurvival_Graham contains the following data for 2001: Individuals OSC 43, Juveniles OSC 7, Adult F OSC 32, Adult M 4",,
,Graham,Graham,1995,Winter,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,12,,,,NA,39,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Graham,Graham,2017,Winter,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,11,,,,NA,NA,56,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Graham,Graham,2020,Winter,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,8,,,,NA,NA,27,NA,NA,1,NA,NA,37,NA,NA,NA,NA,NA,NA,BM,,,,
,Graham,Graham,2019,Winter,NA,80,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,9,,,,NA,44,40,NA,NA,23,NA,NA,2,NA,NA,NA,NA,NA,NA,BM,No snow - groups and single animals likely missed. No population estimate calculated,MNKA = 76 OTC + 4 collared cows detected with no direct visual.,,
,Graham,Graham,2002,Winter,113,119,,NA,MNKA,260,NA,128,391,NA,NA,NA,NA,83,11,NA,19,,,,72,75,61,30,33,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,"113 caribou total and 6 marked animals observed within search area, 15 marked caribou available. Data update: Report methods say Lincoln-Peterson estimate from NOREMARK is reported, but results report the joint hypergeometric estimate (JHE) of  282 (177-609). Re-calculated in NOREMARK as an Lincoln-Peterson estimate of 260 (128-391) (Pelletier & Seip, 2021)","MNKA = 113 OTC + 6 outside search area in survey block. // Note (BM): The entered OSC data for 2001-2002 is from the file 2001-2002_Caribou_AerialPostBirthingSurvival_Graham. The file 2001-2002_Caribou_AerialRutSurvival_Graham contains the following data for 2001: Individuals OSC 67, Juveniles OSC 4, Adult F OSC 45, Adult M 18",,
,Graham,Graham,1999,Winter,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,102,NA,NA,12,,,,NA,NA,68,NA,NA,17,NA,NA,NA,NA,NA,5,NA,NA,NA,BM,,,,
,Graham,Graham,1994,Winter,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,NA,9,,,,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Graham,Graham,1989,Winter,581,587,,SCF 0.333,MNKA,1761,MNKA,NA,NA,NA,0.333,9,3,140,91,NA,3,,,,NA,NA,6,NA,NA,47,490,NA,NA,NA,NA,84,NA,NA,NA,BM,,Note (BM): MC based on sightability correction factor,,
,Graham,Graham,1988,Winter,209,NA,,SCF 0.125,NA,1672,SCF,NA,NA,NA,0.125,8,1,NA,35,NA,NA,,,,79,NA,NA,74,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,BM,Not conclusive population counts as only alpine habitat surveyed.,"Note (BM): MC based on sightability correction factor // 1 of 8 marked animals observed, SCF = 0.125. Parameter calculated as 209/0.125 = 1672. Based on assumpthion that collared animals are equally distributed through the population. Not conclusive population counts as only alpine habitat surveyed.",,
,Graham,Graham,2021,Winter,109,133,,NA,MNKA,230,SCF,NA,NA,NA,0.47,19,9,NA,17,21,NA,,,,42,55,NA,38,41,NA,12,16,NA,NA,NA,NA,NA,NA,NA,BM,,Note (BM transcribing ET's comments): MNKA: Animals contributing to MNKA included 22 animals tracked by telemetry plus 2 collared females whose collars heard but not directly observed,,
,Graham,Graham,2016,Winter,76,181,,SCF 0.23.,MNKA,330,SCF,NA,NA,NA,0.23,23,6,NA,12,21,NA,,,,48,121,NA,16,29,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,BM,"Data Update: Report authors first calculated a Lincoln-Peterson estimate of 230 (116-447), based on 76 total caribou, 6 observed marked out of 20 observed available. They also accounted for the proportion of the collared sample located outside the survey blocks at the time of the inventory (6 of 26 collars; 23%) estimated that an additional 68 caribou were present outside the core winter range, resulting in an overall population estimate of 298 caribou within the entire Graham herd range. Unable to replicate calculation, recalculated as (caribou within search area / re-sightability of all collars) = 76 / 0.23 = 330 (Pelletier & Seip, 2021)","MNKA = 76 OTC + 105 observed outside alpine search area (60 outside search area inside survey block, 45 outside survey block) // Juvenile MNKA = 12 OTC + 9 observed outside alpine search area (5 within survey block, 4 outside survey block) // Ad F MNKA = 48 OTC + 73 observed outside alpine search area (43 within survey block, 30 outside survey block) // Ad M MNKA = 16 OTC + 13 observed outside alpine search area (2 within survey block, 11 outside survey block) // Unclassified life stage and sex MNKA = 10 observed outside search area within survey block",,
,Graham,Graham,2003,Winter,46,70,Y,Not considered a accurate population estimate due to milder winter conditions and low number of marked animals observed,MC,93,LP,37,149,NA,NA,NA,NA,NA,2,3,NA,,,,27,41,NA,17,25,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,BM,"""Not an accurate population estimate due to milder winter conditions and low number of marked animals observed. Data update: Report methods say Lincoln-Peterson estimate from NOREMARK is reported, but Results report the joint hypergeometric estimate (JHE) of 107 (61-348) where there were 46 caribou total, 3 marked animals observed in search areas, 7 out of 10 marked animals 'active within blocks during the inventory.' Using same parameters as report, Lincoln Petersen estimate = 93 (37 - 149) (Pelletier & Seip, 2021).""","MNKA = 46 OTC + 24 observed outside search area within survey block. Includes 3 males observed north of Branham Cliffs (i.e. not ascribed to an official survey block). Data Update: Report records that a total of 67 caribou were classified and used to calculate calf survival and recruitment estimates. Recalculated as 41 females + 25 males + 3 juveniles + 1 unclassified = 70, using both data from Culling & Culling 2005 and 2003 pdf of data (KMB, 2021). // Ad F MNKA = 27 OTC + 14 cows observed outside search area within survey block // ",,
,Graham,Graham,2009,Winter,134,190,,NA,MNKA,708,LP,311,1558,NA,NA,NA,NA,NA,15,19,NA,,,,88,134,NA,31,36,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,BM,,MNKA = 134 OTC + 56 outside search area // Juvenile MNKA = 15 OTC + 4 outside search area // Ad F MNKA = 31 OTC + 5 outside search area // Ad M MNKA = 31 OTC + 5 outside search area,,
,Graham,Graham,2015,Winter,189,215,,Many caribou located outside of search area.,MNKA,347,LP,207,660,NA,NA,NA,NA,NA,25,27,NA,,,,115,130,NA,49,50,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,BM,,MNKA = 189 OTC + 26 located outside of alpine search area // Juvenile MNKA = 25 OTC + 2 located outside alpine search area // Ad  F MNKA = 115 + 15 located outside alpine search area // Ad M MNKA = 49 + 1 located outside alpine search area // Unclassified life stage and sex MNKA = 8 unclassified caribou located outside alpine search area,,
,Groundhog,Groundhog,2021,Winter,34,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,1,1,NA,7,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,BM: Waiting for age and sex breakdown data,,,
,Groundhog,Groundhog,1999,Winter,24,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,,,,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Groundhog,Groundhog,2006,Winter,23,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,,,,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Groundhog,Groundhog,2008,Winter,23,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,,,,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Groundhog,Groundhog,2010,Winter,9,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,,,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Groundhog,Groundhog,2011,Winter,6,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Groundhog,Groundhog,2013,Winter,11,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Groundhog,Groundhog,2015,Winter,14,NA,Y,"""Completed census during caribou collaring flights; one area where large group not found and likely underestimate of population based on conservative track estimate""",OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,BM,"""Completed census during caribou collaring flights; one area where large group not found and likely underestimate of population based on conservative track estimate""","""MNKA = 18 OTC + 1 track. Includes Estimates from tracks recorded as detections, small number seperate from ohter observations""",,
,Groundhog,Groundhog,2017,Winter,13,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Groundhog,Groundhog,2018,Winter,19,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,,,,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Groundhog,Groundhog,2019,Winter,18,19,,NA,MNKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,,,,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,BM,,"MNKA = 18 OTC + 1 track. Includes Estimates from tracks recorded as detections, small number seperate from other observations",,
,Groundhog,Groundhog,2020,Winter,31,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,,,,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Hart North,Hart North,2008,Winter,121,NA,,NA,"MC, OTC",156,SCF,NA,NA,NA,0.778,9,7,NA,11,NA,NA,,,,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,BM,"Good survey conditions on the first day, but during the second day of the survey there were many tracks which caused some confusion; exact survey date unknown",,,
,Hart North,Hart North,2012,Winter,111,NA,,NA,"MC, OTC",129,SCF,NA,NA,NA,0.86,9,8,NA,10,NA,NA,,,,NA,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA,NA,NA,NA,BM,"19 of 22 (86%) collared caribou observed in the study area (i.e. Kennedy Siding, Burnt Pine, Narrow Lake and Hart Ranges) // 8 of 9 collared caribou observed",,,
,Hart North,Hart North,2013,Winter,84,NA,,NA,"MC, OTC",101,SCF,NA,NA,NA,0.83,12,10,NA,14,NA,NA,,,,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,BM,10 of 12 collared caribou observed; 2 of 12 collared caribou missed; an additional 2 collared caribou were not included in the total marks available (n=12) because they were located outside of the traditionally surveyed area for Parsnip,,,
,Hart North,Hart North,2019,Winter,110,114,,NA,"MC, MNKA",119,JHE,111,158,NA,0.9167,12,11,NA,22,23,NA,,,,NA,NA,NA,NA,NA,NA,88,91,NA,NA,NA,NA,NA,NA,NA,BM,BM: 95% confidence interval for JHE,"MNKA for individuals: Observed count plus 4 caribou (3 adults, 1 calf) located post survey via telemetry // MNKA for juveniles: Observed count plus 1 located post survey via telemetry // MNKA for adults: Observed count plus 3 located post survey via telemetry",,
,Hart North,Hart North,2020,Winter,109,114,,NA,,118,JHE,,,NA,0.91,12,11,NA,18,20,NA,,,,NA,NA,NA,NA,NA,NA,91,94,NA,NA,NA,NA,NA,NA,NA,RS/MK,,,,
,Hart North,Hart North,2007,Winter,159,NA,,NA,"MC, OTC",207,SCF,NA,NA,NA,0.769,13,10,NA,21,NA,NA,,,,NA,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Hart North,Hart North,2021,Winter,114,NA,,NA, ,122,JHE,115,151,NA,0.93,15,14,NA,20,20,NA,,,,NA,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,NA,NA,NA,BM,"BM: OTC is the sum of ""Marked Seen"" and ""Unmarked Seen"" animals in email from Mike Klaczek. 95% confidence interval for JHE. LP model estimate also available: 122, 95% CI 107-135.",,,
,Hart North,Hart North,2010,Winter,149,NA,,NA,"MC, OTC",201,SCF,NA,NA,NA,0.74,17,10,NA,20,NA,NA,,,,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,NA,NA,NA,BM,"SCF of 0.74 is the unweighted mean sightability of radio collared caribou observed in 2007 (77%), 2008 (78%), 2009 (80%), and 2010 (59%); 10 of 17 collared caribou observed during the survey; however, ""we suggest that we saw more than 59% of the caribou during the survey and that the best estimate for the Parsnip herd in 2010 should be 201 based on the unweighted mean of all 4 years of sightability estimates (74%)"" (Seip 2010) - see report for more details regarding rationale // 10 of 17 collared caribou observed; 21 collars were initially available but 3 were outside of the survey area and one of the collared caribou had died",,,
,Hart North,Hart North,2009,Winter,147,NA,,NA,"MC, OTC",184,SCF,NA,NA,NA,0.8,20,16,NA,17,NA,NA,,,,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,,
,Hart North,Hart North,2002,Winter,121,NA,Y,"""Suspected to be an undercount due to less than ideal survey conditions"" and see other comments",NA,146,SCF,NA,NA,NA,0.83,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,BM,"Suspected to be an undercount due to less than ideal survey conditions; data reflects the 2010 update where 39 individuals originally assigned to Kennedy Siding herd but were later determined to be part of Parsnip; Parsnip composition data was not retained and therefore the # Ad and Juv could not be summarized following the 2010 update (pers comm. Seip, 2020) // Seip (1990) estimated that 83% of mountain caribou can be seen in March using a helicopter",,,
,Hart North,Hart North,2005,Winter,68,81,Y,"""Incomplete survey"" and see other comments",NA,82,SCF,NA,NA,NA,0.83,NA,NA,NA,11,NA,NA,,,,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,BM,"Incomplete survey of Parsnip - only the lower half of the watersheds flowing into Parsnip were surveyed (where most of the caribou live); however, it is known that some caribou were missed because radio-collared caribou present in the back ends of those watersheds (Seip et al, 2005) // Seip (1990) estimated that 83% of mountain caribou can be seen in March using a helicopter; Data update: 2005 report (Seip et al.) records an adjusted estimate of 98 (SCF applied to the MNKA), updated to 82 (pers comm, Klaczek, Heard & Seip, 2021)",,,
,Hart North,Hart North,2006,Winter,191,NA,,NA,"MC, OTC",230,SCF,NA,NA,NA,0.83,NA,NA,NA,39,NA,NA,,,,NA,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,BM,Seip (1990) estimated that 83% of mountain caribou can be seen in March using a helicopter,,,
,Hart North,Hart North,2015,Winter,119,147,Y,Potentially? See comments,MNKA,143,SCF,NA,NA,NA,0.83,NA,NA,NA,13,NA,NA,,,,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,NA,BM,"On April 8, the entire Parsnip range south of Anzac and Table rivers was surveyed, resuling in a repeat count of the eastern half of the area between Anzac and Table rivers; it was assumed there was no caribou movement to or from the Anzac River-Reynolds Creek area between Mar 22 and Apr 8. // Seip (1990) estimated that 83% of mountain caribou can be seen in March using a helicopter; Data update: 2015 report (Heard et al.) records an adjusted estimate of 177 (SCF applied to the MNKA), updated to 143 (pers comm, Klaczek, Seip & Heard, 2021); the MNKA (147) is greater than the SCF-adjusted estimate of 143, therefore the MNKA is the best parameter value",MNKA: Observed count plus 28 caribou estimated from tracks,,
,Hart North,Hart North,2016,Winter,110,NA,,NA,"MC, OTC",133,SCF,NA,NA,NA,0.83,NA,NA,NA,18,NA,NA,,,,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,BM,"Seip (1990) estimated that 83% of mountain caribou can be seen in March using a helicopter; Data update: 2016 report (Klaczek & Heard) records an estimate of 129, updated to 133 (pers comm, Klaczek, 2021)",MNKA: 3 collared caribou (old VHF collars) observed,,
,Hart South,Hart South,2021,Winter,282,NA,,NA,,282,JHE,282,317,NA,1,16,16,NA,44,44,NA,,,,NA,NA,NA,NA,NA,NA,238,238,NA,NA,NA,NA,NA,NA,NA,BM,"BM: OTC is the sum of ""Marked Seen"" and ""Unmarked Seen"" animals in email from Mike Klaczek. 95% confidence interval for JHE. LP model estimate also available: 282, 95% CI 282-282.",,,
,Hart South,Hart South,2020,Winter,289,289,,NA,MC,289,JHE,,,NA,1,26,26,NA,49,49,,,,,NA,NA,NA,NA,NA,NA,240,240,NA,NA,NA,NA,NA,NA,NA,RS/MK,,,,
,Hart South,Hart South,2019,Winter,235,238,,NA,"MC, MNKA",257,JHE,242,295,NA,0.9118,34,31,NA,43,NA,NA,,,,NA,NA,NA,NA,NA,NA,192,195,NA,NA,NA,NA,NA,NA,NA,BM,BM: 95% confidence interval for MC-JHE,MNKA for individuals: Observed count plus 3 collared caribou located post survey via telemetry // MNKA for adults: Observed count plus 3 collared caribou located post survey via telemetry,,
,Hart South,Hart South,2002,Winter,275,NA,Y,"""Captain-Otter block was surveyed under poor conditions""",NA,331,SCF,NA,NA,NA,0.83,NA,NA,NA,48,NA,NA,,,,NA,NA,NA,NA,NA,NA,227,NA,NA,NA,NA,NA,NA,NA,NA,BM,Captain-Otter block was surveyed under poor conditions // Sum of the corrected counts (SCF = 0.83) for each block; Seip (1990) estimated that 83% of mountain caribou can be seen in March using a helicopter,,,
,Hart South,Hart South,2005,Winter,368,382,,NA,"MC, MNKA",443,SCF,NA,NA,NA,0.83,NA,NA,NA,66,NA,NA,,,,NA,NA,NA,NA,NA,NA,302,NA,NA,NA,NA,NA,NA,NA,NA,BM,"Seip (1990) estimated that 83% of mountain caribou can be seen in March using a helicopter; Data update: 2005 report (Seip et al.) records an adjusted estimate of 460 (SCF applied to the MNKA), updated to 443 (pers comm, Klaczek, Heard & Seip, 2021)",MNKA: Observed count plus 14 estimated from tracks,,
,Hart South,Hart South,2006,Winter,387,405,,NA,"MC, MNKA",466,SCF,NA,NA,NA,0.83,NA,NA,NA,63,NA,NA,,,,NA,NA,NA,NA,NA,NA,324,NA,NA,NA,NA,NA,NA,NA,NA,BM,"Seip (1990) estimated that 83% of mountain caribou can be seen in March using a helicopter; Data update: 2006 report (Seip et al.) records an adjusted estimate of 488 (SCF applied to the MNKA), updated to 466 (pers comm, Klaczek, Heard & Seip, 2021)",MNKA: Observed count plus 18 estimated from tracks,,
,Hart South,Hart South,2010,Winter,298,NA,,NA,"MC, OTC",359,SCF,NA,NA,NA,0.83,NA,NA,NA,30,NA,NA,,,,NA,NA,NA,NA,NA,NA,268,NA,NA,NA,NA,NA,NA,NA,NA,BM,Seip (1990) estimated that 83% of mountain caribou can be seen in March using a helicopter,,,
,Hart South,Hart South,2012,Winter,348,NA,,NA,"MC, OTC",404,SCF,NA,NA,NA,0.86,NA,NA,NA,39,NA,NA,,,,NA,NA,NA,NA,NA,NA,309,NA,NA,NA,NA,NA,NA,NA,NA,BM,"19 of 22 (86%) collared caribou observed in the study area (i.e. Kennedy Siding, Burnt Pine, Narrow Lake and Hart Ranges); 2012 report lists a sightability corrected estimate of 404, derived from multiplying the total observed count by a factor of 1.16 (reciprocal of 0.86)",,,
,Hart South,Hart South,2013,Winter,257,NA,Y,"""Walker and Hedrick blocks were not surveyed in 2013""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,,,,NA,NA,NA,NA,NA,NA,223,NA,NA,NA,NA,NA,NA,NA,NA,BM,"Walker and Hedrick blocks were not surveyed in 2013 // Expert Knowledge Model Estimate of 338: The 2013 count for Hart South was 84% of the 2012 total (excluding Walker and Hedrick blocks) and had similar caribou distribution among blocks; Heard, Courtier & Watts (2013) calculated this estimate by assuming the same change occurred in the Walker and Hedrick blocks (i.e. 84% of the 2012 estimate of 404 for Hart South)",,,
,Hart South,Hart South,2016,Winter,203,NA,,NA,"MC, OTC",246,SCF,NA,NA,NA,0.83,NA,NA,NA,26,NA,NA,,,,NA,NA,NA,NA,NA,NA,171,NA,NA,6,NA,NA,NA,NA,NA,BM,Sum of sightability corrected estimates (SCF = 0.83) from blocks within Hart South,,,
,Itcha-Ilgachuz,Itcha-Ilgachuz,2010,March,NA,NA,Y,"""2010 late winter survey did not observe any caribou (no radio-collars to track).  Snow conditions included low snowpack, melted out tracks, no recent snowfall in up to 3 weeks, and hard crust.  Tracks were difficult to assess age and fresh track was not discernable from the air.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,Aerial Late Winter Recruitment,
,Itcha-Ilgachuz,Itcha-Ilgachuz,1978,February,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,10,,,,NA,NA,1,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,BM,,,Aerial Late Winter Recruitment,"Rob entered an additional record for 1978 with exactly the same data as I have entered here except with 49 adults of unclassified sex, which I have in my raw data as divided into 1 adult female and 48 unclassified adults. Based on this, I have made the assumption that the source for Rob's data was the same as mine, except mine was slightly more informative, so I have deleted Rob's row."
