ACTION,Herd,BC Herd,Year,Official Survey Timing,"Survey Count (KMB = SO, Total count) OTC",MinCount (KMB = Minimum # known alive),NFG,NFG-Reason,Use for trend? (KMB - BPV?),"Estimate (MC, eg JHE)","Parameter Method (JHE, mark resight etc)",LCL-90%,UCL-90%,CV,SCF,N collar available,N collars detected,"KMB = Observed sample count, OSC; Min count (survey for recruitment - cannot be used for trend analyses in the IPM or otherwise)",N. Calves (OTC),N. Calves (Min # Known Alive),N. Calves (OSC),Percent calves- free ranging (OTC),Percent calves- free ranging (Min # Known Alive),Percent calves- including penned calves,N. Adult F (OTC),N. Adult F (Min # Known Alive),N. Adult F (OSC),N. Adult M (OTC),N. Adult M (Min # Known Alive),N. Adult M (OSC),N. Adult (Sex Unclassified) (OTC),N. Adult (Sex Unclassified) (Min # Known Alive),N. Adult (Sex Unclassified) (OSC),Unclassified Life Stage and Sex (OTC),Unclassified Life Stage and Sex (Min # Known Alive),Unclassified Life Stage and Sex (OSC),Yrling - Unclas Sex (OTC),Yrling - Unclas Sex (Min # Known Alive),Yrling - Unclas Sex (OSC),Who entered the data?,Relevant Notes in Original Data,Notes in Original Data on MNKA/ Estimate/ Parameter Method,Survey Type (s),Additional Notes
,Charlotte Alplands,Charlotte Alplands,1993,March,NA,NA,,NA,OSC,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,BM,A late winter inventory fixed-wing flight was conducted to assess the status of the transplanted caribou herd in the mountains west of Charlotte Lake; fiftytwo caribou ( and one recent kill) were observed in the transplant area. No classification attempted during survey,,Aerial Late Winter Reconnaissance,
,Charlotte Alplands,Charlotte Alplands,1991,March,52,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CL from Young et al 2001. Status of the Charlotte Alplands Caribou Herd A Successful Short Distance Caribou Transplant. Started off pop at 1984-1991 transplant total of 52 animals, included low precision sightability (5/5) to give large error, give some likely died during this period",,,,
,Charlotte Alplands,Charlotte Alplands,1993,July,53,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,,,,29,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,Aerial Post Calving Population Count & Recruitment,
,Charlotte Alplands,Charlotte Alplands,1998,July,30,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,,,,18,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,BM,,,Aerial Post Calving Population Count & Recruitment,
,Charlotte Alplands,Charlotte Alplands,2000,August,12,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,3,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,BM,,,Aerial Post Calving Population Count & Recruitment,This is the only data for 2000.
,Charlotte Alplands,Charlotte Alplands,2001,July,23,NA,,NA,OTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,,,,12,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,,,Aerial Post Calving Population Count & Recruitment,This is the only data for 2001.
,Charlotte Alplands,Charlotte Alplands,2017,July,NA,NA,Y,Not a formal survey - expert opinion only,NA,25,"""Expert knowledge""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,"No surveys conducted since 2001, population estimate based on incidental sightings and expert opinion. No survey occurred, a population estimate of less than 25 individuals was derived from expert opinion. Purpose of the estimate was to support Federal caribou Recovery Strategy. - N. Dodd (2017)",,NA,This is the only data for 2017.
,Charlotte Alplands,Charlotte Alplands,2020,June,24,25,,NA,MNKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,,,,14,15,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,BM,,MNKA for individuals: Observed count (24) plus one collared cow located post survey via telemetry // MNKA for adult females: Observed count (14) plus one collared cow located post survey via telemetry,Aerial Post Calving Population Count & Recruitment,This is the only data for 2020.
,Chase,Chase,2006,Winter,63,99,Y,"""Habitat stratification based on modeling did not work""",N,NA,NA,NA,NA,NA,1,1,1,NA,15,24,NA,0.24,0.24,,31,47,NA,15,22,NA,1,3,NA,0,0,NA,1,3,NA,BM,"2002, 2004, and 2006 were SRB surveys coupled with MRR and area-based extrapolation (2002 had some weird extrapolation method based on groups, 2006 was hooped) // ""Habitat stratification based on modeling did not work"" // Surveys only covered a portion of the study area (e.g., 2000 was about 50% of the potential sample units); most reports have proportion of blocks sampled and/or proportion of area sampled",Animals found between blocks or that were located using telemetry (outside blocks) are considered incidentals and contribute to MNKA but not to OTC // Missed animals (those with collars inside the survey unit) and the animals with them were tracked seperately and addeded into MKNA but not OTC,,"""TC, high/low"" February 2006"
,Chase,Chase,2008,Winter,235,335,,,MC,628,NA,NA,NA,NA,0.86,7,6,NA,47,61,NA,0.2,0.18,,128,167,NA,43,76,NA,15,21,NA,0,5,NA,2,5,NA,BM,"All the other surveys (2007-2010) were biased block selection based on stratification of habitat (either just alpine or alpine and low-elevation pine-lichen forests) and expected density (i.e., favoring blocks known to have higher density caribou). // Surveys only covered a portion of the study area (e.g., 2000 was about 50% of the potential sample units); most reports have proportion of blocks sampled and/or proportion of area sampled","""Note MC is confounded by habitat strata"" // [We] reported modeled estimates (MC), [but] we used ""unconventional and non-standard modeling techniquues -- repeatable but unpublished and I have no idea how anyone would calculate variance estimates."" // Animals found between blocks or that were located using telemetry (outside blocks) are considered incidentals and contribute to MNKA but not to OTC // Missed animals (those with collars inside the survey unit) and the animals with them were tracked seperately and addeded into MKNA but not OTC",,"""TC, high/low"" February 2008"
,Chase,Chase,2007,Winter,385,412,,,MC,561,NA,NA,NA,NA,0.78,9,7,NA,55,55,NA,0.14,0.13,,174,178,NA,113,127,NA,25,26,NA,11,19,NA,7,7,NA,BM,"All the other surveys (2007-2010) were biased block selection based on stratification of habitat (either just alpine or alpine and low-elevation pine-lichen forests) and expected density (i.e., favoring blocks known to have higher density caribou). // Surveys only covered a portion of the study area (e.g., 2000 was about 50% of the potential sample units); most reports have proportion of blocks sampled and/or proportion of area sampled","""Note MC is confounded by habitat strata"" // [We] reported modeled estimates (MC), [but] we used ""unconventional and non-standard modeling techniquues -- repeatable but unpublished and I have no idea how anyone would calculate variance estimates."" // Animals found between blocks or that were located using telemetry (outside blocks) are considered incidentals and contribute to MNKA but not to OTC // Missed animals (those with collars inside the survey unit) and the animals with them were tracked seperately and addeded into MKNA but not OTC",,"""TC, high/low"" March 2007"
,Chase,Chase,2002,Winter,133,221,,,MC,575,NA,NA,NA,NA,1,10,10,NA,21,27,NA,0.16,0.12,,44,70,NA,23,49,NA,45,57,NA,0,17,NA,0,1,NA,BM,"2002, 2004, and 2006 were SRB surveys coupled with MRR and area-based extrapolation (2002 had some weird extrapolation method based on groups, 2006 was hooped) // Surveys only covered a portion of the study area (e.g., 2000 was about 50% of the potential sample units); most reports have proportion of blocks sampled and/or proportion of area sampled","""Note MC is confounded by habitat strata"" // [We] reported modeled estimates (MC), [but] we used ""unconventional and non-standard modeling techniquues -- repeatable but unpublished and I have no idea how anyone would calculate variance estimates."" // Animals found between blocks or that were located using telemetry (outside blocks) are considered incidentals and contribute to MNKA but not to OTC // Missed animals (those with collars inside the survey unit) and the animals with them were tracked seperately and addeded into MKNA but not OTC",,"""SRB"" March 2002"
,Chase,Chase,2000,Winter,126,126,Y,,N,NA,NA,NA,NA,NA,1,11,11,NA,14,14,NA,0.11,0.11,,78,78,NA,25,25,NA,1,1,NA,3,3,NA,5,5,NA,BM,"2000 was a survey based on methods of predacessors -- TC within high-elevation area of interest // Surveys only covered a portion of the study area (e.g., 2000 was about 50% of the potential sample units); most reports have proportion of blocks sampled and/or proportion of area sampled",Animals found between blocks or that were located using telemetry (outside blocks) are considered incidentals and contribute to MNKA but not to OTC // Missed animals (those with collars inside the survey unit) and the animals with them were tracked seperately and addeded into MKNA but not OTC,,"""TC, high"" March 2000"
,Chase,Chase,2009,Winter,371,391,,,MC,475,NA,NA,NA,NA,1,18,18,NA,56,58,NA,0.15,0.15,,188,201,NA,83,86,NA,44,46,NA,0,0,NA,0,0,NA,BM,"All the other surveys (2007-2010) were biased block selection based on stratification of habitat (either just alpine or alpine and low-elevation pine-lichen forests) and expected density (i.e., favoring blocks known to have higher density caribou). // Surveys only covered a portion of the study area (e.g., 2000 was about 50% of the potential sample units); most reports have proportion of blocks sampled and/or proportion of area sampled","""Note MC is confounded by habitat strata"" // [We] reported modeled estimates (MC), [but] we used ""unconventional and non-standard modeling techniquues -- repeatable but unpublished and I have no idea how anyone would calculate variance estimates."" // Animals found between blocks or that were located using telemetry (outside blocks) are considered incidentals and contribute to MNKA but not to OTC // Missed animals (those with collars inside the survey unit) and the animals with them were tracked seperately and addeded into MKNA but not OTC",,"""TC, high/low"" February–March 2009"
,Chase,Chase,2010,Winter,174,294,Y,"""Animals were not in the greatest position for a survey this year""",MC,347,NA,NA,NA,NA,0.85,20,17,NA,25,41,NA,0.14,0.14,,114,194,NA,32,49,NA,2,9,NA,0,0,NA,1,1,NA,BM,"All the other surveys (2007-2010) were biased block selection based on stratification of habitat (either just alpine or alpine and low-elevation pine-lichen forests) and expected density (i.e., favoring blocks known to have higher density caribou). // ""Animals were not in the greatest position for a survey this year"" // Surveys only covered a portion of the study area (e.g., 2000 was about 50% of the potential sample units); most reports have proportion of blocks sampled and/or proportion of area sampled","""Note MC is confounded by habitat strata"" // [We] reported modeled estimates (MC), [but] we used ""unconventional and non-standard modeling techniquues -- repeatable but unpublished and I have no idea how anyone would calculate variance estimates."" // Animals found between blocks or that were located using telemetry (outside blocks) are considered incidentals and contribute to MNKA but not to OTC // Missed animals (those with collars inside the survey unit) and the animals with them were tracked seperately and addeded into MKNA but not OTC",,"""TC, high/low"" March 2010"
,Chase,Chase,2021,Winter,394,480,,NA,"MNKA, OTC, MC",531,JHE,454,682,NA,NA,31,23,NA,NA,79,NA,,,,NA,249,NA,NA,120,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,BM,"""most of the herd area surveyed"" // 95% confidence interval",,,
,Chase,Chase,2019,Winter,488,505,,,MC,572,NA,NA,NA,NA,NA,34,29,NA,NA,NA,NA,0.16,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BM,"Surveys only covered a portion of the study area (e.g., 2000 was about 50% of the potential sample units); most reports have proportion of blocks sampled and/or proportion of area sampled","""Note MC is confounded by habitat strata"" // [We] reported modeled estimates (MC), [but] we used ""unconventional and non-standard modeling techniquues -- repeatable but unpublished and I have no idea how anyone would calculate variance estimates."" // Animals found between blocks or that were located using telemetry (outside blocks) are considered incidentals and contribute to MNKA but not to OTC // Missed animals (those with collars inside the survey unit) and the animals with them were tracked seperately and addeded into MKNA but not OTC",,
,Chase,Chase,2017,Winter,167,NA,Y,"""terrible snow year""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,0.16,0.16,,NA,NA,NA,NA,NA,NA,126,NA,NA,17,NA,NA,NA,NA,NA,BM,"""terrible snow year"" // Surveys only covered a portion of the study area (e.g., 2000 was about 50% of the potential sample units); most reports have proportion of blocks sampled and/or proportion of area sampled","""Note MC is confounded by habitat strata"" // [We] reported modeled estimates (MC), [but] we used ""unconventional and non-standard modeling techniquues -- repeatable but unpublished and I have no idea how anyone would calculate variance estimates."" // Animals found between blocks or that were located using telemetry (outside blocks) are considered incidentals and contribute to MNKA but not to OTC // Missed animals (those with collars inside the survey unit) and the animals with them were tracked seperately and addeded into MKNA but not OTC",,
